date,latitude,longitude
03/08/2022,50.028721,36.367396
03/08/2022,47.007559,31.999237
03/08/2022,50.0043,36.2376
03/08/2022,50.007428,36.237561
03/09/2022,49.198419,37.278106
03/09/2022,48.029602,37.719399
03/09/2022,46.960142,32.03656
03/09/2022,50.309233,34.878881
03/09/2022,47.096504,37.53365
03/09/2022,47.095661,37.541983
03/09/2022,47.0936,37.559982
03/09/2022,47.097625,37.535701
03/09/2022,47.700398,36.825934
03/09/2022,49.988282,36.246472
03/09/2022,49.981571,36.043354
03/09/2022,49.190821,37.27426
03/09/2022,50.033172,36.348792
03/10/2022,50.573521,30.26716
03/10/2022,47.0957,37.5415
03/10/2022,47.12591,37.684233
03/10/2022,47.097418,37.543367
03/10/2022,47.107533,37.518215
03/10/2022,49.032901,38.373129
03/11/2022,51.502342,31.325262
03/11/2022,49.169613,37.45455
03/11/2022,48.630561,38.372051
03/11/2022,51.50227,31.324901
03/11/2022,46.944043,32.046621
03/11/2022,50.480967,34.965526
03/11/2022,48.477534,34.979416
03/11/2022,48.476853,34.979696
03/12/2022,49.983937,36.278081
03/12/2022,48.643837,38.403996
03/12/2022,47.106591,37.51623
03/12/2022,48.036503,37.772228
03/12/2022,50.528841,30.847631
03/12/2022,49.964966,36.346084
03/12/2022,47.016723,32.000909
03/12/2022,50.52374,30.98364
03/13/2022,47.013208,31.997685
03/13/2022,49.029008,37.567167
03/13/2022,50.491129,30.258798
03/13/2022,50.037878,36.348506
03/13/2022,50.614953,30.292352
03/14/2022,49.984931,36.351939
03/14/2022,50.004685,36.358385
03/14/2022,47.173894,37.555355
03/14/2022,50.034468,36.345771
03/14/2022,49.985218,36.23859
03/14/2022,50.592526,30.939993
03/14/2022,49.993929,36.221273
03/14/2022,46.958259,32.036954
03/14/2022,50.488868,30.467802
03/14/2022,50.003386,36.237927
03/14/2022,50.599326,26.421047
03/14/2022,50.522768,30.486415
03/14/2022,48.721475,37.512081
03/14/2022,48.008998,37.803971
03/14/2022,50.54065,30.263824
03/15/2022,47.130441,37.559837
03/15/2022,50.457782,30.343855
03/15/2022,49.9935,36.22331
03/15/2022,50.502163,30.449456
03/16/2022,49.935939,36.251504
03/16/2022,48.045319,37.972837
03/16/2022,49.241511,28.423845
03/16/2022,49.988343,36.340666
03/16/2022,51.519377,31.326948
03/16/2022,50.023206,36.34011
03/16/2022,49.993522,36.223516
03/16/2022,47.103732,37.643819
03/16/2022,47.096122,37.548139
03/16/2022,49.982767,36.354495
03/17/2022,49.817642,36.055466
03/17/2022,49.976699,36.201054
03/17/2022,46.80652,32.265582
03/17/2022,49.817488,36.054956
03/17/2022,50.001072,36.300091
03/17/2022,48.141149,37.891988
03/18/2022,50.528772,30.365555
03/18/2022,49.98833,36.245826
03/18/2022,47.949748,37.69255
03/18/2022,47.946165,37.697994
03/18/2022,47.104521,37.589409
03/18/2022,49.990019,36.257148
03/18/2022,50.510052,30.432384
03/18/2022,48.73287,37.59193
03/19/2022,48.050363,37.848279
03/19/2022,50.621993,30.443844
03/19/2022,47.151676,37.731557
03/19/2022,48.058875,37.853619
03/19/2022,50.461896,29.811666
03/19/2022,51.469581,31.257546
03/20/2022,49.983601,36.327348
03/20/2022,48.059925,37.77648
03/20/2022,49.865246,36.140811
03/20/2022,47.103944,37.553297
03/20/2022,47.109502,37.561187
03/20/2022,47.1175,37.524615
03/20/2022,50.502639,30.417711
03/21/2022,50.038925,36.245609
03/21/2022,47.098735,37.634005
03/21/2022,48.140635,37.737344
03/21/2022,47.103944,37.534863
03/21/2022,46.973234,32.003387
03/21/2022,47.940676,37.50257
03/21/2022,47.101665,37.634953
03/21/2022,47.119543,37.51905
03/21/2022,50.862343,34.907153
03/21/2022,46.640177,32.61437
03/21/2022,46.973367,32.017311
03/22/2022,50.04066,36.226831
03/22/2022,48.750731,39.182247
